base_items,add_items,support,confidence,lift
The Art of War,The Alchemist,0.08446485623003194,0.5602649006622517,2.8896051725196252
The Alchemist,The Art of War,0.08446485623003194,0.4356333676622039,2.8896051725196252
Think and Grow Rich,The Alchemist,0.06230031948881789,0.5652173913043478,2.9151479872833925
The Alchemist,Think and Grow Rich,0.06230031948881789,0.3213182286302781,2.9151479872833925
The Alchemist,The 7 Habits of Highly Effective People,0.0555111821086262,0.286302780638517,2.8224494595230176
The 7 Habits of Highly Effective People,The Alchemist,0.0555111821086262,0.547244094488189,2.8224494595230176
Harry Potter and the Sorcerer's Stone (Book 1),Harry Potter and the Chamber of Secrets (Book 2),0.05491214057507987,0.44861337683523655,6.138403801067936
Harry Potter and the Chamber of Secrets (Book 2),Harry Potter and the Sorcerer's Stone (Book 1),0.05491214057507987,0.7513661202185792,6.138403801067936
The Alchemist,Harry Potter and the Sorcerer's Stone (Book 1),0.05411341853035144,0.27909371781668385,2.2801000633376063
Harry Potter and the Sorcerer's Stone (Book 1),The Alchemist,0.05411341853035144,0.44208809135399674,2.2801000633376063
Harry Potter and the Sorcerer's Stone (Book 1),Harry Potter and the Prisoner of Azkaban (Book 3),0.048722044728434506,0.39804241435562804,5.897622518026584
Harry Potter and the Prisoner of Azkaban (Book 3),Harry Potter and the Sorcerer's Stone (Book 1),0.048722044728434506,0.7218934911242604,5.897622518026584
The Republic,The Alchemist,0.04313099041533546,0.4897959183673469,2.526156497614494
The Alchemist,The Republic,0.04313099041533546,0.22245108135942326,2.526156497614494
Think and Grow Rich,The 7 Habits of Highly Effective People,0.042531948881789135,0.3858695652173913,3.804005477576172
The 7 Habits of Highly Effective People,Think and Grow Rich,0.042531948881789135,0.41929133858267714,3.804005477576172
The Republic,The Art of War,0.04233226837060703,0.48072562358276644,3.1887071826523106
The Art of War,The Republic,0.04233226837060703,0.280794701986755,3.1887071826523106
Harry Potter and the Prisoner of Azkaban (Book 3),Harry Potter and the Chamber of Secrets (Book 2),0.041733226837060704,0.6183431952662722,8.46082710899861
Harry Potter and the Chamber of Secrets (Book 2),Harry Potter and the Prisoner of Azkaban (Book 3),0.041733226837060704,0.5710382513661202,8.46082710899861
The Alchemist,Jane Eyre,0.040135782747603835,0.2070030895983522,2.9789410135303105
Jane Eyre,The Alchemist,0.040135782747603835,0.5775862068965517,2.9789410135303105
"Harry Potter and the Prisoner of Azkaban (Book 3), Harry Potter and the Sorcerer's Stone (Book 1)",Harry Potter and the Chamber of Secrets (Book 2),0.0369408945686901,0.7581967213114754,10.374451312371226
"Harry Potter and the Chamber of Secrets (Book 2), Harry Potter and the Sorcerer's Stone (Book 1)",Harry Potter and the Prisoner of Azkaban (Book 3),0.0369408945686901,0.6727272727272727,9.96750941366326
